artist,genre,occurrences,track_name
Metallica,Metal,89118,The Memory Remains
Bullet for My Valentine,Metal,40132,Her Voice Resides
In Flames,Metal,34530,Bullet Ride
Nightwish,Metal,32694,Stone People
Apocalyptica,Metal,28166,Path
Opeth,Metal,19434,Nepenthe
Five Finger Death Punch,Metal,17153,White Knuckles
As I Lay Dying,Metal,14460,Undefined
Rob Zombie,Metal,14132,Demonoid Phenomenon
War Of Ages,Metal,14068,Absence of Fear
Los Fabulosos Cadillacs,Latin,18179,Los Condenaditos
Juanes,Latin,13063,Tu Guardian
Orishas,Latin,8864,Emigrantes
Manu Chao,Latin,5861,Eldorado 1997
Shakira,Latin,3277,La Tortura
Lila Downs,Latin,3160,Agua De Rosas
Susana Baca,Latin,2405,Negra Presentuosa
Jarabe de Palo,Latin,2245,Te Miro Y Tiemblo
Carlos Varela,Latin,2016,Una palabra
Luis Miguel,Latin,1953,O Tu O Ninguna
Melody Gardot,Jazz,26308,Deep Within The Corners Of My Mind
Bohren & der Club of Gore,Jazz,24845,Cairo Keller
Jamie Cullum,Jazz,16863,Well You Needn't
Madeleine Peyroux,Jazz,9115,Somethin' Grand
Koop,Jazz,9057,Once Britten
Mikromusic,Jazz,8039,Tam nie ma mnie
Bo Kaspers Orkester,Jazz,7651,Undantag
Bebel Gilberto,Jazz,5502,Bananeira
Jaga Jazzist,Jazz,4370,Reminders
Michael Bublé,Jazz,4002,The Best Is Yet To Come
Bon Iver,Folk,67613,The Wolves (Act I and II)
Beirut,Folk,45357,The Shrew
Devendra Banhart,Folk,28648,Tit Smoking in the Temple of Artesan Mimicry
Chevelle,Folk,27460,MIA
Ray LaMontagne,Folk,19399,Barfly
Nick Drake,Folk,17727,Mayfair
Joshua Radin,Folk,15891,Sundrenched World
Laura Marling,Folk,14752,Made by Maid
The Tallest Man on Earth,Folk,13451,Thousand Ways
Brett Dennen,Folk,13252,I Asked When
Daft Punk,Electronic,105469,Digital Love
The Prodigy,Electronic,66838,Thunder (Bang Gang Remix)
LCD Soundsystem,Electronic,64208,Yeah (Pretentious Mix)
Justice,Electronic,56003,Waters of Nazareth
Röyksopp,Electronic,53228,Circuit Breaker
Crystal Castles,Electronic,52711,Plague
Four Tet,Electronic,49348,And They All Look Broken Hearted
Thievery Corporation,Electronic,46345,Retaliation Suite
Massive Attack,Electronic,46191,Daydreaming (Luv It Dub)
Chromeo,Electronic,41989,Way Too Much
Taylor Swift,Country,63830,A Perfectly Good Heart
Toby Keith,Country,54333,You Shouldn't Kiss Me Like This
Luke Bryan,Country,48717,Tackle Box
Billy Currington,Country,43072,Must Be Doin' Somethin' Right
Eric Church,Country,33825,What I Almost Was
Darius Rucker,Country,29959,History In The Making
Gary Allan,Country,28445,Learning How To Bend
Brad Paisley,Country,28392,He Didn't Have To Be
Dierks Bentley,Country,24216,Trying To Stop Your Leaving
Jason Aldean,Country,22124,Hicktown
B.B. King,Blues,8979,It's My Own Fault
Rory Gallagher,Blues,4111,Tattoo'd Lady
The Yardbirds,Blues,3728,I'm A Man
Depeche Mode,Blues,3019,Lie To Me
T-Bone Walker,Blues,2937,Mean Old World
Jimi Hendrix,Blues,2629,Electric Church Red House
Jonny Lang,Blues,1489,Before You Hit The Ground
Chris Thomas King,Blues,1382,Hard Time Killing Floor Blues
The Blues Brothers,Blues,1152,Going Back to Miami
Joe Bonamassa,Blues,956,The Ballad of John Henry
